Date,Close
1/4/2021 16:00:00,227.85
1/5/2021 16:00:00,240.4
1/6/2021 16:00:00,227.61
1/7/2021 16:00:00,226.9
1/8/2021 16:00:00,236.19
1/11/2021 16:00:00,227.37
1/12/2021 16:00:00,225.6
1/13/2021 16:00:00,235.3
1/14/2021 16:00:00,242.98
1/15/2021 16:00:00,243.46
1/19/2021 16:00:00,251.65
1/20/2021 16:00:00,265.49
1/21/2021 16:00:00,260
1/22/2021 16:00:00,258.62
1/25/2021 16:00:00,261.38
1/26/2021 16:00:00,265.92
1/27/2021 16:00:00,260.25
1/28/2021 16:00:00,260.76
1/29/2021 16:00:00,253.83
2/1/2021 16:00:00,264.69
2/2/2021 16:00:00,254.5
2/3/2021 16:00:00,263.43
2/4/2021 16:00:00,266.96
2/5/2021 16:00:00,265.67
2/8/2021 16:00:00,262.59
2/9/2021 16:00:00,266.49
2/10/2021 16:00:00,267.79
2/11/2021 16:00:00,268.93
2/12/2021 16:00:00,267.85
2/16/2021 16:00:00,270.7
2/17/2021 16:00:00,270.83
2/18/2021 16:00:00,264.51
2/19/2021 16:00:00,263.59
2/22/2021 16:00:00,254
2/23/2021 16:00:00,252.75
2/24/2021 16:00:00,250.34
2/25/2021 16:00:00,240.18
2/26/2021 16:00:00,237.76
3/1/2021 16:00:00,241.69
3/2/2021 16:00:00,234.42
3/3/2021 16:00:00,236.27
3/4/2021 16:00:00,230.5
3/5/2021 16:00:00,233.89
3/8/2021 16:00:00,226.69
3/9/2021 16:00:00,238.14
3/10/2021 16:00:00,234.3
3/11/2021 16:00:00,240.8
3/12/2021 16:00:00,231.87
3/15/2021 16:00:00,230.28
3/16/2021 16:00:00,226.93
3/17/2021 16:00:00,233.34
3/18/2021 16:00:00,236.43
3/19/2021 16:00:00,239.79
3/22/2021 16:00:00,237.12
3/23/2021 16:00:00,237.67
3/24/2021 16:00:00,229.59
3/25/2021 16:00:00,222.72
3/26/2021 16:00:00,227.26
3/29/2021 16:00:00,231.86
3/30/2021 16:00:00,229.25
3/31/2021 16:00:00,226.73
4/1/2021 16:00:00,224.36
4/5/2021 16:00:00,225.3
4/6/2021 16:00:00,230.57
4/7/2021 16:00:00,225.42
4/8/2021 16:00:00,228.24
4/9/2021 16:00:00,223.31
4/12/2021 16:00:00,244.01
4/13/2021 16:00:00,241.89
4/14/2021 16:00:00,239.23
4/15/2021 16:00:00,239.09
4/16/2021 16:00:00,238.69
4/19/2021 16:00:00,234.78
